Frame,Time,EAR,Predicted_Status,Filename
0,2.22,0.185,DROWSY_PREDICTED,collected_images/frame_0000_1765352475966.jpg
1,3.93,0.112,DROWSY_PREDICTED,collected_images/frame_0001_1765352477642.jpg
2,5.71,0.269,ATTENTIVE_PREDICTED,collected_images/frame_0002_1765352479448.jpg
3,7.5,0.174,DROWSY_PREDICTED,collected_images/frame_0003_1765352481246.jpg
4,9.33,0.253,ATTENTIVE_PREDICTED,collected_images/frame_0004_1765352483069.jpg
5,11.1,0.06,DROWSY_PREDICTED,collected_images/frame_0005_1765352484839.jpg
6,12.87,0.153,DROWSY_PREDICTED,collected_images/frame_0006_1765352486611.jpg
7,14.67,0.278,ATTENTIVE_PREDICTED,collected_images/frame_0007_1765352488384.jpg
8,16.47,0.165,DROWSY_PREDICTED,collected_images/frame_0008_1765352490207.jpg
9,18.27,0.128,DROWSY_PREDICTED,collected_images/frame_0009_1765352492014.jpg
10,20.04,0.239,ATTENTIVE_PREDICTED,collected_images/frame_0010_1765352493785.jpg
11,21.92,0.231,ATTENTIVE_PREDICTED,collected_images/frame_0011_1765352495660.jpg
12,23.74,0.144,DROWSY_PREDICTED,collected_images/frame_0012_1765352497485.jpg
13,25.39,0.183,DROWSY_PREDICTED,collected_images/frame_0013_1765352499131.jpg
14,27.23,0.0,No Face,collected_images/frame_0014_1765352500954.jpg
15,28.92,0.096,DROWSY_PREDICTED,collected_images/frame_0015_1765352502665.jpg
16,30.88,0.0,No Face,collected_images/frame_0016_1765352504618.jpg
