Posting Date,Transaction Date,Amount,Credit Debit Indicator,type,Type Group,Reference,Instructed Currency,Currency Exchange Rate,Instructed Amount,Description,Category,Check Serial Number,Card Ending,Rewards Total,Rewards Type
04/10/2026,04/10/2026,5.28,Debit,POS,POS,,,,,Kroger,Groceries,,,,
04/06/2026,04/06/2026,1651.91,Debit,Transfer,Transfer,,,,,Transfer To Mortgage,Mortgages,,,,
04/06/2026,04/06/2026,4,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -7032,Transfers,,,,
04/06/2026,04/04/2026,34.6,Debit,POS,POS,,,,,Domino's Pizza,Restaurants/Dining,,,,
04/06/2026,04/05/2026,30.63,Debit,POS,POS,,,,,Kroger,Groceries,,,,
04/06/2026,04/04/2026,9.99,Debit,POS,POS,,,,,DEBIT-DC 7325 CLOUDARY HOLDINGS HONG KONG,Online Services,,,,
04/06/2026,04/04/2026,0.1,Debit,Debit,Debit,,,,,Intl Transaction Fee Visa Cloudary Holdings Hong Kong HK,Service Charges/Fees,,,,
04/03/2026,04/03/2026,1768.17,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from State Check,Paychecks/Salary,2100002,,,
04/01/2026,04/01/2026,6,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -7032,Transfers,,,,
03/31/2026,03/31/2026,0.01,Credit,Credit,Credit,,,,,Dividend,Investment Income,,,,
03/31/2026,03/30/2026,8.65,Debit,POS,POS,,,,,Pocket Fm,Entertainment,,,,
03/30/2026,03/28/2026,10.81,Debit,POS,POS,,,,,Pocket Fm,Entertainment,,,,
03/25/2026,03/25/2026,30,Debit,Transfer,Transfer,,,,,Transfer To Checking -6259,Transfers,,,,
03/24/2026,03/24/2026,250,Debit,ACH Debit,ACH Debit,,,,,- Zwicker & Associ Phone Chk XX7445,Online Services,21127445,,,
03/23/2026,03/23/2026,10,Debit,ACH Debit,ACH Debit,,,,,Transfer to Charles Schwab,Savings,1100123,,,
03/23/2026,03/23/2026,138,Debit,Transfer,Transfer,,,,,Transfer To Checking -1807,Transfers,,,,
03/23/2026,03/21/2026,205.19,Debit,POS,POS,,,,,Disney Plus,Entertainment,,,,
03/23/2026,03/21/2026,50,Debit,POS,POS,,,,,Transfer to Cash App,Transfers,,,,
03/20/2026,03/20/2026,450,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -1806,Transfers,,,,
03/20/2026,03/20/2026,334.23,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -0711,Transfers,,,,
03/20/2026,03/20/2026,200,Debit,Transfer,Transfer,,,,,Transfer To Checking -6259,Transfers,,,,
03/20/2026,03/20/2026,100,Debit,Transfer,Transfer,,,,,Transfer To Checking -6259,Transfers,,,,
03/20/2026,03/20/2026,60,Debit,POS,POS,,,,,Transfer to Cash App,Transfers,,,,
03/19/2026,03/19/2026,1866.07,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from State Check,Paychecks/Salary,2100002,,,
03/16/2026,03/15/2026,10,Debit,POS,POS,,,,,Transfer to Cash App,Transfers,,,,
03/13/2026,03/13/2026,10.81,Debit,POS,POS,,,,,Amazon Kindle,Hobbies,,,,
03/10/2026,03/10/2026,50.45,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -1806,Transfers,,,,
03/10/2026,03/10/2026,20,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -7032,Transfers,,,,
03/09/2026,03/09/2026,175,Debit,ACH Debit,ACH Debit,,,,,Transfer to PayPal,Transfers,9100001,,,
03/06/2026,03/05/2026,2.6,Debit,POS,POS,,,,,Canteen Vending Services,Groceries,,,,
03/05/2026,03/05/2026,1657.6,Debit,Transfer,Transfer,,,,,Transfer To Mortgage,Mortgages,,,,
03/04/2026,03/04/2026,1768.17,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from State Check,Paychecks/Salary,2100002,,,
03/04/2026,03/04/2026,112.76,Credit,Credit,Credit,,,,,Transfer from Cash App,Transfers,,,,
03/02/2026,03/02/2026,20,Debit,Transfer,Transfer,,,,,Transfer To Checking -1807,Transfers,,,,
03/02/2026,03/01/2026,67.7,Debit,POS,POS,,,,,Kroger,Groceries,,,,
03/02/2026,03/01/2026,20,Debit,POS,POS,,,,,Time Mart,Groceries,,,,
03/02/2026,03/02/2026,11.36,Debit,POS,POS,,,,,Kroger,Groceries,,,,
03/02/2026,02/27/2026,1.07,Debit,POS,POS,,,,,DEBIT-DC 7325 AMAZON DIGI* B988A WWW.AMAZON.CO WA,General Merchandise,,,,
02/27/2026,02/27/2026,0.01,Credit,Credit,Credit,,,,,Dividend,Investment Income,,,,
02/27/2026,02/27/2026,25.97,Credit,ACH Credit,ACH Credit,,,,,Transfer from PayPal,Transfers,9100001,,,
02/26/2026,02/25/2026,4.62,Debit,POS,POS,,,,,The Home Depot,Home Improvement,,,,
02/25/2026,02/24/2026,39.1,Debit,POS,POS,,,,,POS DEBIT-DC 7325 WM SUPERCENTER #35 713-436-2899 TX,,,,,
